29-May-22 | Sunday | 23:41:34 PM - <module>:Custom_logger.py - DEBUG | This is debug
29-May-22 | Sunday | 23:41:34 PM - <module>:Custom_logger.py - INFO | This is info
29-May-22 | Sunday | 23:41:34 PM - <module>:Custom_logger.py - WARNING | This is warning
29-May-22 | Sunday | 23:41:34 PM - <module>:Custom_logger.py - ERROR | This is error
29-May-22 | Sunday | 23:41:34 PM - <module>:Custom_logger.py - CRITICAL | This is critical
20-June-22 | Monday | 00:00:50 AM - <module>:Custom_logger.py - DEBUG | This is debug
20-June-22 | Monday | 00:00:50 AM - <module>:Custom_logger.py - INFO | This is info
20-June-22 | Monday | 00:00:50 AM - <module>:Custom_logger.py - WARNING | This is warning
20-June-22 | Monday | 00:00:50 AM - <module>:Custom_logger.py - ERROR | This is error
20-June-22 | Monday | 00:00:50 AM - <module>:Custom_logger.py - CRITICAL | This is critical
20-June-22 | Monday | 00:03:18 AM - <module>:Custom_logger.py - DEBUG | This is debug
20-June-22 | Monday | 00:03:18 AM - <module>:Custom_logger.py - INFO | This is info
20-June-22 | Monday | 00:03:18 AM - <module>:Custom_logger.py - WARNING | This is warning
20-June-22 | Monday | 00:03:18 AM - <module>:Custom_logger.py - ERROR | This is error
20-June-22 | Monday | 00:03:18 AM - <module>:Custom_logger.py - CRITICAL | This is critical
20-June-22 | Monday | 00:05:57 AM - <module>:Custom_logger.py - DEBUG | This is debug
20-June-22 | Monday | 00:05:57 AM - <module>:Custom_logger.py - INFO | This is info
20-June-22 | Monday | 00:05:57 AM - <module>:Custom_logger.py - WARNING | This is warning
20-June-22 | Monday | 00:05:57 AM - <module>:Custom_logger.py - ERROR | This is error
20-June-22 | Monday | 00:05:57 AM - <module>:Custom_logger.py - CRITICAL | This is critical
